,Unnamed: 0,name,no_frames,right_no
0,3427,5d9mIpws4cg_130_10,0,Wrong no
1,4458,5mN4mokQ5RU_195_10,0,Wrong no
2,6621,5l5Pdd96Pao_161_10,0,Wrong no
3,7915,5_gyoV_sQXU_1_10,0,Wrong no
4,7344,cqUusXBODuw_1046_10,0,Wrong no
5,8008,co50KUHacYw_5_10,0,Wrong no
6,6895,_ogcMN4Cjrc_61_10,0,Wrong no
7,7763,i3fkbmgjTww_140_10,0,Wrong no
8,5845,NQcK4qPOqtg_232_10,0,Wrong no
9,1234,gbLPhSj-4ec_72_10,0,Wrong no
10,7035,Egrfp_wwoO0_250_10,0,Wrong no
11,5604,Pw2oTlByCQg_20_10,0,Wrong no
12,8851,Qogtvr0IYN8_60_10,0,Wrong no
13,5923,7cs8f_afneA_21_10,0,Wrong no
14,3019,y7cYaYX4gdw_47_10,0,Wrong no
15,5681,yW0-1NyZRhQ_22_10,0,Wrong no
16,3780,HIlg7xTv_A8_200_10,0,Wrong no
17,4939,HcKGRNQZEyE_76_10,0,Wrong no
18,6916,7xTjkEV0UAM_631_10,0,Wrong no
19,4600,JUEhSImBZVQ_23_10,0,Wrong no
20,4705,J1x0XlWa6HM_147_10,0,Wrong no
21,1102,163qTWSaAmo_108_10,0,Wrong no
22,8352,1xCcogP9tHM_88_10,0,Wrong no
23,8917,1_nxfkY76mk_1_10,0,Wrong no
24,928,huohhRauhDI_32_10,0,Wrong no
25,2361,jHEPKtyUuJ8_223_10,0,Wrong no
26,4096,ixQrfusr6k8_1_10,0,Wrong no
27,8359,i-gzh_BPDa8_154_10,0,Wrong no
28,2379,9iWrmV3Cwt0_13_10,0,Wrong no
29,277,GpIYSaSR6k4_14_10,0,Wrong no
30,1213,G1AZJPJ60hs_4_10,0,Wrong no
31,2485,3VvkoFtPCCU_45_10,0,Wrong no
32,7908,3Y8p0dEenHA_264_10,0,Wrong no
33,8589,2DEvAEWGc3M_17_10,0,Wrong no
34,2222,BaUAqgX0dNo_122_10,0,Wrong no
35,7355,B0rqlcTD24Q_54_10,0,Wrong no
36,2246,kdZoXx6GQQU_13_10,0,Wrong no
37,2336,lCQpXsnGkhA_86_10,0,Wrong no
38,3329,J03k9nCxnZ0_13_10,0,Wrong no
39,5377,WHtscf4rkV4_10_10,0,Wrong no
40,7340,SYTMgaqGhfg_10_10,0,Wrong no
41,10070,Lw14NH9kAqE_759_10,0,Wrong no
42,5156,4MzqTgfwl8Q_53_10,0,Wrong no
43,1289,A-FCzUzEd4U_0_10,0,Wrong no
